town_name,bachelors_degree_pct,poverty_pct,unemployment_pct,median_household_income,income_10yr_change_pct,population,population_10yr_change_pct
Somerset,37.0,5.0,2.5,111720.0,52.7,18246.0,0.0
Somerville,68.0,10.1,2.9,127056.0,89.3,80549.0,4.7
South Hadley,50.2,7.3,3.4,93646.0,51.5,17410.0,-1.8
Southampton,41.1,3.3,1.7,125534.0,56.9,6212.0,5.7
Southborough,75.7,3.8,4.1,192006.0,33.7,10441.0,6.5
Southbridge,17.7,16.2,7.5,59397.0,39.9,17806.0,6.4
Southwick,35.9,6.1,3.5,108833.0,38.7,9222.0,-3.5
Spencer,27.5,7.7,5.8,79086.0,31.4,11961.0,1.9
Springfield,19.7,25.3,8.2,51339.0,49.6,154751.0,0.9
Sterling,53.5,4.3,3.7,136027.0,37.6,8111.0,3.5
Stockbridge,52.8,11.6,8.1,131667.0,124.1,1885.0,-5.3
Stoneham,54.0,4.6,3.1,112635.0,48.0,22986.0,6.9
Stoughton,41.0,9.2,5.0,104164.0,40.3,29074.0,5.6
Stow,76.6,5.0,4.1,177862.0,53.7,7109.0,5.5
Sturbridge,46.5,3.0,4.6,129606.0,68.1,9889.0,6.3
Sudbury,84.4,2.6,5.0,234634.0,37.3,19067.0,6.4
Sunderland,61.3,19.1,8.0,61442.0,30.7,3653.0,-1.1
Sutton,47.0,4.5,1.8,156215.0,41.5,9383.0,4.0
Swampscott,61.7,7.0,5.4,128964.0,39.8,15209.0,9.7
Swansea,34.2,2.8,4.7,116627.0,64.3,17231.0,8.0
Taunton,24.4,13.7,5.6,79715.0,54.4,59719.0,6.7
Templeton,27.3,8.4,7.1,103277.0,58.5,8187.0,1.8
Tewksbury,40.3,3.0,4.0,125966.0,41.2,31168.0,5.9
Tisbury,41.0,5.6,1.2,70724.0,44.5,4860.0,21.7
Tolland,40.0,6.3,5.0,106458.0,30.4,475.0,-13.8
Topsfield,73.0,7.5,0.7,176698.0,58.2,6535.0,5.2
Townsend,37.7,7.2,5.6,120238.0,50.0,9052.0,0.2
Truro,54.3,5.9,3.1,94637.0,64.4,1675.0,-3.2
Tyngsborough,49.7,4.8,3.7,144375.0,58.7,12424.0,6.4
Tyringham,60.8,2.6,4.0,150000.0,97.5,459.0,12.0
Upton,52.8,2.5,5.6,155952.0,47.5,8095.0,6.9
Uxbridge,38.9,4.0,4.6,127083.0,49.7,14318.0,6.2
Wakefield,57.0,4.6,4.5,130320.0,55.1,27284.0,7.4
Wales,26.1,4.8,5.3,93971.0,66.9,1927.0,4.9
Walpole,62.5,3.3,5.2,159720.0,72.9,26294.0,7.9
Waltham,56.4,8.6,3.5,116560.0,57.1,64723.0,5.5
Ware,26.0,9.8,7.1,69666.0,38.0,10012.0,1.4
Wareham,27.8,7.2,6.0,82741.0,39.8,23226.0,5.2
Warren,33.4,9.1,10.5,66587.0,56.8,4981.0,-3.0
Warwick,43.1,7.8,5.3,95000.0,70.1,861.0,34.1
Washington,31.3,1.5,1.9,89345.0,27.6,533.0,11.5
Watertown,67.2,6.1,5.5,123422.0,41.2,35270.0,9.0
