district_name,ap_test_takers,hs_enrollment_9_12,ap_participation_pct,graduation_rate_pct,mcas_math_pct
springfield,753.0,6967.0,10.8,82.0,21.0
springfield international charter (district),70.0,458.0,15.3,94.4,20.0
springfield preparatory charter school (district),,0,,,54.0
state total,,,,89.3,42.0
state totals,65211.0,281178.0,23.2,,
stoneham,198.0,595.0,33.3,91.9,51.0
stoughton,194.0,1027.0,18.9,88.6,38.0
sturbridge,,0,,,54.0
sturgis charter public (district),,833.0,,98.0,
sudbury,,0,,,73.0
sunderland,,0,,,46.0
sutton,175.0,336.0,52.1,94.2,42.0
swampscott,270.0,670.0,40.3,93.5,48.0
swansea,111.0,503.0,22.1,93.0,50.0
tantasqua,205.0,1127.0,18.2,95.5,46.0
taunton,417.0,2318.0,18.0,89.0,24.0
tec connections academy commonwealth virtual school district,58.0,1729.0,3.4,45.7,29.0
tewksbury,242.0,722.0,33.5,93.4,43.0
tisbury,,0,,,36.0
topsfield,,0,,,73.0
tri-county regional vocational technical,88.0,992.0,8.9,100.0,
triton,102.0,520.0,19.6,92.9,53.0
truro,,0,,,70.0
tyngsborough,99.0,431.0,23.0,97.1,42.0
up academy charter school of dorchester (district),,0,,,13.0
up-island regional,,0,,,65.0
upper cape cod regional vocational technical,22.0,867.0,2.5,98.9,
uxbridge,76.0,499.0,15.2,87.8,36.0
veritas preparatory charter school (district),,339.0,,,15.0
wachusett,418.0,1720.0,24.3,93.9,56.0
wakefield,224.0,871.0,25.7,95.5,56.0
wales,,0,,,18.0
walpole,274.0,896.0,30.6,95.8,51.0
waltham,412.0,1817.0,22.7,74.5,30.0
ware,36.0,242.0,14.9,89.5,34.0
wareham,69.0,425.0,16.2,79.4,31.0
warwick,,0,,,11.0
watertown,162.0,728.0,22.3,87.6,51.0
wayland,296.0,792.0,37.4,97.3,77.0
webster,49.0,430.0,11.4,78.0,15.0
wellesley,529.0,1220.0,43.4,95.3,76.0
wellfleet,,0,,,56.0
west boylston,56.0,233.0,24.0,100.0,50.0
west bridgewater,85.0,410.0,20.7,95.0,39.0
west springfield,336.0,1164.0,28.9,91.4,31.0
westborough,330.0,1125.0,29.3,95.4,63.0
westfield,185.0,1551.0,11.9,91.7,38.0
westford,397.0,1467.0,27.1,97.9,69.0
westhampton,,0,,,60.0
weston,334.0,651.0,51.3,97.7,74.0
westport,84.0,385.0,21.8,96.9,43.0
westwood,423.0,826.0,51.2,98.6,76.0
weymouth,390.0,1645.0,23.7,89.4,34.0
whately,,0,,,56.0
whitman-hanson,265.0,972.0,27.3,88.9,45.0
whittier regional vocational technical,38.0,1288.0,3.0,99.0,
williamsburg,,0,,,83.0
wilmington,179.0,633.0,28.3,93.4,56.0
winchendon,27.0,235.0,11.5,70.7,38.0
winchester,483.0,1418.0,34.1,96.0,77.0
winthrop,159.0,549.0,29.0,91.2,42.0
woburn,251.0,1196.0,21.0,91.1,37.0
worcester,1669.0,7669.0,21.8,85.5,23.0
worcester cultural academy charter public school (district),,0,,,35.0
worthington,,0,,,15.0
wrentham,,0,,,66.0
