District Name,District Code,Test Takers,Tests Taken,One Test,Two Tests,Three Tests,Four Tests,Five or More Tests
North Attleborough,02120000,296,618,133,65,52,33,13
North Brookfield,02150000,12,14,10,2,0,0,0
North Middlesex,07350000,143,243,71,50,16,6,0
North Reading,02170000,226,417,108,67,33,14,4
Northampton,02100000,326,673,139,81,64,32,10
Northampton-Smith Vocational Agricultural,04060000,28,38,18,10,0,0,0
Northboro-Southboro,07300000,473,"1,033",171,141,95,42,24
Northbridge,02140000,76,118,46,22,5,2,1
Northeast Metropolitan Regional Vocational Technical,08530000,118,175,75,31,11,0,1
Northern Berkshire Regional Vocational Technical,08510000,28,42,18,6,4,0,0
Norton,02180000,166,357,54,57,34,19,2
Norwell,02190000,251,429,141,60,34,14,2
Norwood,02200000,249,573,98,54,48,30,19
Old Colony Regional Vocational Technical,08550000,103,130,77,25,1,0,0
Old Rochester,07400000,186,309,108,45,25,4,4
Oxford,02260000,98,168,43,42,11,2,0
Palmer,02270000,42,64,33,2,2,4,1
Pathfinder Regional Vocational Technical,08600000,59,94,35,16,5,3,0
Peabody,02290000,286,568,131,80,42,19,14
Pembroke,02310000,236,465,96,80,39,15,6
Pentucket,07450000,209,366,87,97,17,6,2
Pioneer Charter School of Science (District),04940000,99,205,28,41,26,3,1
Pioneer Charter School of Science II (District),35060000,109,244,33,35,26,12,3
Pioneer Valley,07500000,12,22,5,4,3,0,0
Pioneer Valley Chinese Immersion Charter (District),04970000,1,,,,,,
Pioneer Valley Performing Arts Charter Public (District),04790000,4,,,,,,
Pittsfield,02360000,349,591,181,114,37,14,3
Plymouth,02390000,421,837,182,114,89,25,11
Prospect Hill Academy Charter (District),04870000,70,92,51,16,3,0,0
Quabbin,07530000,116,198,55,43,15,3,0
Quaboag Regional,07780000,91,159,46,31,8,3,3
Quincy,02430000,563,"1,353",177,175,100,56,55
Ralph C Mahar,07550000,23,33,16,4,3,0,0
Randolph,02440000,191,401,86,45,25,25,10
Reading,02460000,266,636,88,66,59,33,20
Revere,02480000,364,597,189,123,46,6,0
Rising Tide Charter Public (District),04830000,19,38,6,7,6,0,0
Rockland,02510000,157,303,74,38,31,10,4
Rockport,02520000,47,80,24,15,6,2,0
Roxbury Preparatory Charter (District),04840000,303,761,138,46,29,33,57
Salem,02580000,249,491,119,69,26,21,14
Salem Academy Charter (District),04850000,107,238,37,27,30,10,3
Sandwich,02610000,186,375,73,61,35,12,5
Saugus,02620000,142,274,64,39,25,13,1
Scituate,02640000,319,727,116,77,67,41,18
Seekonk,02650000,156,282,80,41,26,5,4
Sharon,02660000,377,982,95,124,63,51,44
Shrewsbury,02710000,500,"1,154",158,137,130,45,30
